"","Gender","Age","Corruption","Severity","Service","sum_AP","n"
"254","Female","3-7","shot-noise",5,"Azure",71,1231
"255","Female","3-7","shot-noise",5,"GCP",836.648514851485,1229
"256","Female","3-7","impulse-noise",1,"AWS",569.084158415842,1232
"257","Female","3-7","impulse-noise",1,"Azure",1073.67821782178,1231
"258","Female","3-7","impulse-noise",1,"GCP",1193.28712871287,1229
"259","Female","3-7","impulse-noise",2,"AWS",483.138613861386,1232
"260","Female","3-7","impulse-noise",2,"Azure",927.193069306931,1231
"261","Female","3-7","impulse-noise",2,"GCP",1171.63366336634,1229
"262","Female","3-7","impulse-noise",3,"AWS",406,1232
"263","Female","3-7","impulse-noise",3,"Azure",792.752475247525,1231
"264","Female","3-7","impulse-noise",3,"GCP",1147.9801980198,1229
"265","Female","3-7","impulse-noise",4,"AWS",225.623762376238,1232
"266","Female","3-7","impulse-noise",4,"Azure",387.019801980198,1231
"267","Female","3-7","impulse-noise",4,"GCP",1030.80693069307,1229
"268","Female","3-7","impulse-noise",5,"AWS",58,1232
"269","Female","3-7","impulse-noise",5,"Azure",118.504950495049,1231
"270","Female","3-7","impulse-noise",5,"GCP",809.821782178218,1229
"271","Female","3-7","defocus-blur",1,"AWS",1007.11386138614,1232
"272","Female","3-7","defocus-blur",1,"Azure",1223.87458745875,1231
"273","Female","3-7","defocus-blur",1,"GCP",1223.45544554455,1229
"274","Female","3-7","defocus-blur",2,"AWS",1001.23267326733,1232
"275","Female","3-7","defocus-blur",2,"Azure",1221.73267326733,1231
"276","Female","3-7","defocus-blur",2,"GCP",1220.9702970297,1229
"277","Female","3-7","defocus-blur",3,"AWS",950.831683168317,1232
"278","Female","3-7","defocus-blur",3,"Azure",1209.25247524752,1231
"279","Female","3-7","defocus-blur",3,"GCP",1213.31683168317,1229
"280","Female","3-7","defocus-blur",4,"AWS",894.821782178218,1232
"281","Female","3-7","defocus-blur",4,"Azure",1190.70297029703,1231
"282","Female","3-7","defocus-blur",4,"GCP",1176.51485148515,1229
"283","Female","3-7","defocus-blur",5,"AWS",784.782178217822,1232
"284","Female","3-7","defocus-blur",5,"Azure",1161.15346534653,1231
"285","Female","3-7","defocus-blur",5,"GCP",1122.52475247525,1229
"286","Female","3-7","glass-blur",1,"AWS",991.227722772277,1232
"287","Female","3-7","glass-blur",1,"Azure",1222.82178217822,1231
"288","Female","3-7","glass-blur",1,"GCP",1221.45544554455,1229
"289","Female","3-7","glass-blur",2,"AWS",979.955445544554,1232
"290","Female","3-7","glass-blur",2,"Azure",1220.23762376238,1231
"291","Female","3-7","glass-blur",2,"GCP",1221.46534653465,1229
"292","Female","3-7","glass-blur",3,"AWS",873.227722772277,1232
"293","Female","3-7","glass-blur",3,"Azure",1202.45544554455,1231
"294","Female","3-7","glass-blur",3,"GCP",1207.50495049505,1229
"295","Female","3-7","glass-blur",4,"AWS",804.148514851485,1232
"296","Female","3-7","glass-blur",4,"Azure",1180.05445544554,1231
"297","Female","3-7","glass-blur",4,"GCP",1188.0198019802,1229
"298","Female","3-7","glass-blur",5,"AWS",692.569306930693,1232
"299","Female","3-7","glass-blur",5,"Azure",1151.78217821782,1231
"300","Female","3-7","glass-blur",5,"GCP",1148.0198019802,1229
"301","Female","3-7","motion-blur",1,"AWS",1036.52145214521,1232
"302","Female","3-7","motion-blur",1,"Azure",1222.72194719472,1231
"303","Female","3-7","motion-blur",1,"GCP",1221.28712871287,1229
"304","Female","3-7","motion-blur",2,"AWS",1011.30198019802,1232
"305","Female","3-7","motion-blur",2,"Azure",1218.26072607261,1231
"306","Female","3-7","motion-blur",2,"GCP",1218.46534653465,1229
"307","Female","3-7","motion-blur",3,"AWS",966.683168316832,1232
"308","Female","3-7","motion-blur",3,"Azure",1202.15841584158,1231
"309","Female","3-7","motion-blur",3,"GCP",1210.9900990099,1229
"310","Female","3-7","motion-blur",4,"AWS",861.80198019802,1232
"311","Female","3-7","motion-blur",4,"Azure",1132.31683168317,1231
"312","Female","3-7","motion-blur",4,"GCP",1184.0198019802,1229
"313","Female","3-7","motion-blur",5,"AWS",749.435643564356,1232
"314","Female","3-7","motion-blur",5,"Azure",1000.77227722772,1231
"315","Female","3-7","motion-blur",5,"GCP",1119.52475247525,1229
"316","Female","3-7","zoom-blur",1,"AWS",1030.42079207921,1232
"317","Female","3-7","zoom-blur",1,"Azure",1208.34158415842,1231
"318","Female","3-7","zoom-blur",1,"GCP",1215.9900990099,1229
"319","Female","3-7","zoom-blur",2,"AWS",967.485148514852,1232
"320","Female","3-7","zoom-blur",2,"Azure",1165.85643564356,1231
"321","Female","3-7","zoom-blur",2,"GCP",1214,1229
"322","Female","3-7","zoom-blur",3,"AWS",824.772277227723,1232
"323","Female","3-7","zoom-blur",3,"Azure",1097.63366336634,1231
"324","Female","3-7","zoom-blur",3,"GCP",1209.51485148515,1229
"325","Female","3-7","zoom-blur",4,"AWS",671.316831683168,1232
"326","Female","3-7","zoom-blur",4,"Azure",971.277227722772,1231
"327","Female","3-7","zoom-blur",4,"GCP",1200.51485148515,1229
"328","Female","3-7","zoom-blur",5,"AWS",498.80198019802,1232
"329","Female","3-7","zoom-blur",5,"Azure",716.247524752475,1231
"330","Female","3-7","zoom-blur",5,"GCP",1175.0198019802,1229
"331","Female","3-7","snow",1,"AWS",800.262376237624,1232
"332","Female","3-7","snow",1,"Azure",1186.91089108911,1231
"333","Female","3-7","snow",1,"GCP",964.80198019802,1229
"334","Female","3-7","snow",2,"AWS",542.495049504951,1232
"335","Female","3-7","snow",2,"Azure",1037.9702970297,1231
"336","Female","3-7","snow",2,"GCP",775.475247524752,1229
"337","Female","3-7","snow",3,"AWS",592.089108910891,1232
"338","Female","3-7","snow",3,"Azure",1073.94059405941,1231
"339","Female","3-7","snow",3,"GCP",415.549504950495,1229
"340","Female","3-7","snow",4,"AWS",399.752475247525,1232
"341","Female","3-7","snow",4,"Azure",957.455445544554,1231
"342","Female","3-7","snow",4,"GCP",203.792079207921,1229
"343","Female","3-7","snow",5,"AWS",465.841584158416,1232
"344","Female","3-7","snow",5,"Azure",796.445544554455,1231
"345","Female","3-7","snow",5,"GCP",422.643564356436,1229
"346","Female","3-7","frost",1,"AWS",892.871287128713,1232
"347","Female","3-7","frost",1,"Azure",1184.16336633663,1231
"348","Female","3-7","frost",1,"GCP",1163.62376237624,1229
"349","Female","3-7","frost",2,"AWS",628.009900990099,1232
"350","Female","3-7","frost",2,"Azure",1052.44554455446,1231
"351","Female","3-7","frost",2,"GCP",975.133663366337,1229
"352","Female","3-7","frost",3,"AWS",422.594059405941,1232
"353","Female","3-7","frost",3,"Azure",899.445544554455,1231
"354","Female","3-7","frost",3,"GCP",831.980198019802,1229
"355","Female","3-7","frost",4,"AWS",388.014851485149,1232
"356","Female","3-7","frost",4,"Azure",853.643564356436,1231
"357","Female","3-7","frost",4,"GCP",784.653465346535,1229
"358","Female","3-7","frost",5,"AWS",300.806930693069,1232
"359","Female","3-7","frost",5,"Azure",748.772277227723,1231
"360","Female","3-7","frost",5,"GCP",688.148514851485,1229
"361","Female","3-7","fog",1,"AWS",1043.09900990099,1232
"362","Female","3-7","fog",1,"Azure",1209.57425742574,1231
"363","Female","3-7","fog",1,"GCP",1064.31683168317,1229
"364","Female","3-7","fog",2,"AWS",1022.98514851485,1232
"365","Female","3-7","fog",2,"Azure",1199.03630363036,1231
"366","Female","3-7","fog",2,"GCP",959.326732673267,1229
"367","Female","3-7","fog",3,"AWS",967.30198019802,1232
"368","Female","3-7","fog",3,"Azure",1163.58415841584,1231
"369","Female","3-7","fog",3,"GCP",780.485148514852,1229
"370","Female","3-7","fog",4,"AWS",865.625412541254,1232
"371","Female","3-7","fog",4,"Azure",1119.08910891089,1231
"372","Female","3-7","fog",4,"GCP",583.980198019802,1229
"373","Female","3-7","fog",5,"AWS",582.321782178218,1232
"374","Female","3-7","fog",5,"Azure",910.792079207921,1231
"375","Female","3-7","fog",5,"GCP",282.633663366337,1229
"376","Female","3-7","brightness",1,"AWS",1090.15841584158,1232
"377","Female","3-7","brightness",1,"Azure",1230.0099009901,1231
"378","Female","3-7","brightness",1,"GCP",1220.27722772277,1229
"379","Female","3-7","brightness",2,"AWS",1079.92951438001,1232
"380","Female","3-7","brightness",2,"Azure",1228.0297029703,1231
"381","Female","3-7","brightness",2,"GCP",1219.10231023102,1229
"382","Female","3-7","brightness",3,"AWS",1072.67722772277,1232
"383","Female","3-7","brightness",3,"Azure",1227.07920792079,1231
"384","Female","3-7","brightness",3,"GCP",1214.38613861386,1229
"385","Female","3-7","brightness",4,"AWS",1037.83168316832,1232
"386","Female","3-7","brightness",4,"Azure",1217.10891089109,1231
"387","Female","3-7","brightness",4,"GCP",1188.45544554455,1229
"388","Female","3-7","brightness",5,"AWS",1032.88118811881,1232
"389","Female","3-7","brightness",5,"Azure",1213.56435643564,1231
"390","Female","3-7","brightness",5,"GCP",1156.4801980198,1229
"391","Female","3-7","contrast",1,"AWS",1062.47524752475,1232
"392","Female","3-7","contrast",1,"Azure",1222.06930693069,1231
"393","Female","3-7","contrast",1,"GCP",1200.29702970297,1229
"394","Female","3-7","contrast",2,"AWS",1041.44554455446,1232
"395","Female","3-7","contrast",2,"Azure",1218.23762376238,1231
"396","Female","3-7","contrast",2,"GCP",1167.80198019802,1229
"397","Female","3-7","contrast",3,"AWS",978.495049504951,1232
"398","Female","3-7","contrast",3,"Azure",1208.59405940594,1231
"399","Female","3-7","contrast",3,"GCP",1030.82178217822,1229
"400","Female","3-7","contrast",4,"AWS",747.59900990099,1232
"401","Female","3-7","contrast",4,"Azure",1089.48514851485,1229
"402","Female","3-7","contrast",4,"GCP",381.623762376238,1229
"403","Female","3-7","contrast",5,"AWS",188.435643564356,1232
"404","Female","3-7","contrast",5,"Azure",562.39603960396,1226
"405","Female","3-7","contrast",5,"GCP",12.2574257425743,1229
"406","Female","3-7","elastic-transform",1,"AWS",367.668316831683,1232
"407","Female","3-7","elastic-transform",1,"Azure",585.39603960396,1231
"408","Female","3-7","elastic-transform",1,"GCP",970.955445544554,1229
"409","Female","3-7","elastic-transform",2,"AWS",91.5346534653465,1232
"410","Female","3-7","elastic-transform",2,"Azure",111.188118811881,1231
"411","Female","3-7","elastic-transform",2,"GCP",353.366336633663,1229
"412","Female","3-7","elastic-transform",3,"AWS",1036.40594059406,1232
"413","Female","3-7","elastic-transform",3,"Azure",1222.26732673267,1231
"414","Female","3-7","elastic-transform",3,"GCP",1220.17821782178,1229
"415","Female","3-7","elastic-transform",4,"AWS",957.89603960396,1232
"416","Female","3-7","elastic-transform",4,"Azure",1214.18481848185,1231
"417","Female","3-7","elastic-transform",4,"GCP",1206.19801980198,1229
"418","Female","3-7","elastic-transform",5,"AWS",593.475247524752,1232
"419","Female","3-7","elastic-transform",5,"Azure",1144.80198019802,1231
"420","Female","3-7","elastic-transform",5,"GCP",954.673267326733,1229
"421","Female","3-7","pixelate",1,"AWS",1053.70792079208,1232
"422","Female","3-7","pixelate",1,"Azure",1229.84488448845,1231
"423","Female","3-7","pixelate",1,"GCP",1223.63366336634,1229
"424","Female","3-7","pixelate",2,"AWS",1015.75247524752,1232
"425","Female","3-7","pixelate",2,"Azure",1228.45544554455,1231
"426","Female","3-7","pixelate",2,"GCP",1222.29702970297,1229
"427","Female","3-7","pixelate",3,"AWS",992.455445544554,1232
"428","Female","3-7","pixelate",3,"Azure",1221.72607260726,1231
"429","Female","3-7","pixelate",3,"GCP",1220.9801980198,1229
"430","Female","3-7","pixelate",4,"AWS",906.816831683168,1232
"431","Female","3-7","pixelate",4,"Azure",1213.75247524752,1231
