"","Skin.Type","Gender","Age","Lighting","Corruption","Severity","Service","sum_AP","n"
"251","Lighter","Feminine","19-45","Dim","shot-noise",4,"Azure",324.034653465347,461
"252","Lighter","Feminine","19-45","Dim","shot-noise",4,"GCP",427.841584158416,458
"253","Lighter","Feminine","19-45","Dim","shot-noise",5,"AWS",448.683168316832,461
"254","Lighter","Feminine","19-45","Dim","shot-noise",5,"Azure",144.009900990099,461
"255","Lighter","Feminine","19-45","Dim","shot-noise",5,"GCP",388.460396039604,458
"256","Lighter","Feminine","19-45","Dim","impulse-noise",1,"AWS",456.49504950495,461
"257","Lighter","Feminine","19-45","Dim","impulse-noise",1,"Azure",450.039603960396,461
"258","Lighter","Feminine","19-45","Dim","impulse-noise",1,"GCP",439.336633663366,458
"259","Lighter","Feminine","19-45","Dim","impulse-noise",2,"AWS",447.683168316832,461
"260","Lighter","Feminine","19-45","Dim","impulse-noise",2,"Azure",427.70297029703,461
"261","Lighter","Feminine","19-45","Dim","impulse-noise",2,"GCP",419.841584158416,458
"262","Lighter","Feminine","19-45","Dim","impulse-noise",3,"AWS",442.178217821782,461
"263","Lighter","Feminine","19-45","Dim","impulse-noise",3,"Azure",386.891089108911,461
"264","Lighter","Feminine","19-45","Dim","impulse-noise",3,"GCP",378.341584158416,458
"265","Lighter","Feminine","19-45","Dim","impulse-noise",4,"AWS",414.673267326733,461
"266","Lighter","Feminine","19-45","Dim","impulse-noise",4,"Azure",184.272277227723,461
"267","Lighter","Feminine","19-45","Dim","impulse-noise",4,"GCP",259.019801980198,458
"268","Lighter","Feminine","19-45","Dim","impulse-noise",5,"AWS",336.958745874587,461
"269","Lighter","Feminine","19-45","Dim","impulse-noise",5,"Azure",50,461
"270","Lighter","Feminine","19-45","Dim","impulse-noise",5,"GCP",151,458
"271","Lighter","Feminine","19-45","Dim","defocus-blur",1,"AWS",460.50495049505,461
"272","Lighter","Feminine","19-45","Dim","defocus-blur",1,"Azure",459.00495049505,461
"273","Lighter","Feminine","19-45","Dim","defocus-blur",1,"GCP",455.326732673267,458
"274","Lighter","Feminine","19-45","Dim","defocus-blur",2,"AWS",460.50495049505,461
"275","Lighter","Feminine","19-45","Dim","defocus-blur",2,"Azure",458.514851485149,461
"276","Lighter","Feminine","19-45","Dim","defocus-blur",2,"GCP",455.326732673267,458
"277","Lighter","Feminine","19-45","Dim","defocus-blur",3,"AWS",460.168316831683,461
"278","Lighter","Feminine","19-45","Dim","defocus-blur",3,"Azure",455.353135313531,461
"279","Lighter","Feminine","19-45","Dim","defocus-blur",3,"GCP",454.084158415842,458
"280","Lighter","Feminine","19-45","Dim","defocus-blur",4,"AWS",459.168316831683,461
"281","Lighter","Feminine","19-45","Dim","defocus-blur",4,"Azure",455.346534653465,461
"282","Lighter","Feminine","19-45","Dim","defocus-blur",4,"GCP",450.841584158416,458
"283","Lighter","Feminine","19-45","Dim","defocus-blur",5,"AWS",458.673267326733,461
"284","Lighter","Feminine","19-45","Dim","defocus-blur",5,"Azure",450.92904290429,461
"285","Lighter","Feminine","19-45","Dim","defocus-blur",5,"GCP",444.841584158416,458
"286","Lighter","Feminine","19-45","Dim","glass-blur",1,"AWS",460.50495049505,461
"287","Lighter","Feminine","19-45","Dim","glass-blur",1,"Azure",460.00495049505,461
"288","Lighter","Feminine","19-45","Dim","glass-blur",1,"GCP",455.168316831683,458
"289","Lighter","Feminine","19-45","Dim","glass-blur",2,"AWS",460.50495049505,461
"290","Lighter","Feminine","19-45","Dim","glass-blur",2,"Azure",459.50495049505,461
"291","Lighter","Feminine","19-45","Dim","glass-blur",2,"GCP",455.326732673267,458
"292","Lighter","Feminine","19-45","Dim","glass-blur",3,"AWS",460.50495049505,461
"293","Lighter","Feminine","19-45","Dim","glass-blur",3,"Azure",459.50495049505,461
"294","Lighter","Feminine","19-45","Dim","glass-blur",3,"GCP",455.831683168317,458
"295","Lighter","Feminine","19-45","Dim","glass-blur",4,"AWS",460.50495049505,461
"296","Lighter","Feminine","19-45","Dim","glass-blur",4,"Azure",459.00495049505,461
