"","Gender","Age","Corruption","Severity","Service","sum_AP","n"
"162","Predominantly Feminine","Young","motion-blur",2,"Yolov5",1073.18843342325,1468
"163","Predominantly Feminine","Young","motion-blur",3,"AWS",979.222277227723,1370
"164","Predominantly Feminine","Young","motion-blur",3,"Azure",932.452475247525,1293
"165","Predominantly Feminine","Young","motion-blur",3,"GCP",944.818316831683,1271
"166","Predominantly Feminine","Young","motion-blur",3,"MogFace",983.347806780678,1394
"167","Predominantly Feminine","Young","motion-blur",3,"TinaFace",939.107920792079,1347
"168","Predominantly Feminine","Young","motion-blur",3,"Yolov5",966.850932563192,1468
"169","Predominantly Feminine","Young","motion-blur",4,"AWS",840.215841584158,1370
"170","Predominantly Feminine","Young","motion-blur",4,"Azure",789.956930693069,1293
"171","Predominantly Feminine","Young","motion-blur",4,"GCP",822.368811881188,1271
"172","Predominantly Feminine","Young","motion-blur",4,"MogFace",859.254950495049,1394
"173","Predominantly Feminine","Young","motion-blur",4,"TinaFace",794.171287128713,1347
"174","Predominantly Feminine","Young","motion-blur",4,"Yolov5",853.518567786724,1468
"175","Predominantly Feminine","Young","motion-blur",5,"AWS",750.451485148515,1370
"176","Predominantly Feminine","Young","motion-blur",5,"Azure",706.297524752475,1293
"177","Predominantly Feminine","Young","motion-blur",5,"GCP",702.99801980198,1271
"178","Predominantly Feminine","Young","motion-blur",5,"MogFace",781.439768976898,1394
"179","Predominantly Feminine","Young","motion-blur",5,"TinaFace",698.446534653465,1347
"180","Predominantly Feminine","Young","motion-blur",5,"Yolov5",784.146386138614,1468
"181","Predominantly Feminine","Young","zoom-blur",1,"AWS",640.801485148515,1370
"182","Predominantly Feminine","Young","zoom-blur",1,"Azure",588.830693069307,1293
"183","Predominantly Feminine","Young","zoom-blur",1,"GCP",617.984653465346,1271
"184","Predominantly Feminine","Young","zoom-blur",1,"MogFace",684.191254125412,1394
"185","Predominantly Feminine","Young","zoom-blur",1,"TinaFace",560.241584158416,1347
"186","Predominantly Feminine","Young","zoom-blur",1,"Yolov5",693.695627062706,1468
"187","Predominantly Feminine","Young","zoom-blur",2,"AWS",472.828712871287,1370
"188","Predominantly Feminine","Young","zoom-blur",2,"Azure",426.265346534653,1293
"189","Predominantly Feminine","Young","zoom-blur",2,"GCP",462.548514851485,1271
"190","Predominantly Feminine","Young","zoom-blur",2,"MogFace",505.835643564356,1394
"191","Predominantly Feminine","Young","zoom-blur",2,"TinaFace",380.458415841584,1347
"192","Predominantly Feminine","Young","zoom-blur",2,"Yolov5",532.202310231023,1468
"193","Predominantly Feminine","Young","zoom-blur",3,"AWS",429.917326732673,1370
"194","Predominantly Feminine","Young","zoom-blur",3,"Azure",361.837128712871,1293
"195","Predominantly Feminine","Young","zoom-blur",3,"GCP",380.239603960396,1271
"196","Predominantly Feminine","Young","zoom-blur",3,"MogFace",453.632178217822,1394
"197","Predominantly Feminine","Young","zoom-blur",3,"TinaFace",333.265841584158,1347
"198","Predominantly Feminine","Young","zoom-blur",3,"Yolov5",491.231848184818,1468
"199","Predominantly Feminine","Young","zoom-blur",4,"AWS",328.644554455445,1370
"200","Predominantly Feminine","Young","zoom-blur",4,"Azure",282.496534653465,1293
"201","Predominantly Feminine","Young","zoom-blur",4,"GCP",290.369306930693,1271
"202","Predominantly Feminine","Young","zoom-blur",4,"MogFace",347.937458745874,1394
"203","Predominantly Feminine","Young","zoom-blur",4,"TinaFace",224.256930693069,1347
"204","Predominantly Feminine","Young","zoom-blur",4,"Yolov5",381.617079207921,1468
"205","Predominantly Feminine","Young","zoom-blur",5,"AWS",327.335643564356,1370
"206","Predominantly Feminine","Young","zoom-blur",5,"Azure",261.469306930693,1293
"207","Predominantly Feminine","Young","zoom-blur",5,"GCP",228.669306930693,1271
"208","Predominantly Feminine","Young","zoom-blur",5,"MogFace",328.559405940594,1394
"209","Predominantly Feminine","Young","zoom-blur",5,"TinaFace",228.273267326733,1347
"210","Predominantly Feminine","Young","zoom-blur",5,"Yolov5",383.00099009901,1468
"211","Predominantly Feminine","Young","snow",1,"AWS",1133.57476247625,1370
"212","Predominantly Feminine","Young","snow",1,"Azure",1101.34336633663,1293
"213","Predominantly Feminine","Young","snow",1,"GCP",1033.5504950495,1271
"214","Predominantly Feminine","Young","snow",1,"MogFace",1114.0773769877,1394
"215","Predominantly Feminine","Young","snow",1,"TinaFace",1077.466718529,1347
"216","Predominantly Feminine","Young","snow",1,"Yolov5",1089.39395551693,1468
"217","Predominantly Feminine","Young","snow",2,"AWS",1020.2353960396,1370
"218","Predominantly Feminine","Young","snow",2,"Azure",950.069306930693,1293
"219","Predominantly Feminine","Young","snow",2,"GCP",895.824257425742,1271
"220","Predominantly Feminine","Young","snow",2,"MogFace",961.4686232909,1394
"221","Predominantly Feminine","Young","snow",2,"TinaFace",869.320457331447,1347
"222","Predominantly Feminine","Young","snow",2,"Yolov5",971.784825464689,1468
"223","Predominantly Feminine","Young","snow",3,"AWS",997.580528052805,1370
"224","Predominantly Feminine","Young","snow",3,"Azure",951.936386138614,1293
"225","Predominantly Feminine","Young","snow",3,"GCP",769.855445544554,1271
"226","Predominantly Feminine","Young","snow",3,"MogFace",974.731394389439,1394
"227","Predominantly Feminine","Young","snow",3,"TinaFace",878.390565770863,1347
"228","Predominantly Feminine","Young","snow",3,"Yolov5",946.676346950436,1468
"229","Predominantly Feminine","Young","snow",4,"AWS",895.186386138614,1370
"230","Predominantly Feminine","Young","snow",4,"Azure",848.528877887789,1293
"231","Predominantly Feminine","Young","snow",4,"GCP",585.110891089109,1271
"232","Predominantly Feminine","Young","snow",4,"MogFace",861.492739273927,1394
"233","Predominantly Feminine","Young","snow",4,"TinaFace",730.071122112211,1347
"234","Predominantly Feminine","Young","snow",4,"Yolov5",855.88262602558,1468
"235","Predominantly Feminine","Young","snow",5,"AWS",929.069801980198,1370
"236","Predominantly Feminine","Young","snow",5,"Azure",830.74504950495,1293
"237","Predominantly Feminine","Young","snow",5,"GCP",694.145544554455,1271
"238","Predominantly Feminine","Young","snow",5,"MogFace",868.811881188119,1394
"239","Predominantly Feminine","Young","snow",5,"TinaFace",717.753300330033,1347
"240","Predominantly Feminine","Young","snow",5,"Yolov5",883.055744807793,1468
"241","Predominantly Feminine","Young","frost",1,"AWS",1214.74749646393,1370
"242","Predominantly Feminine","Young","frost",1,"Azure",1118.42321782178,1293
"243","Predominantly Feminine","Young","frost",1,"GCP",1086.15099009901,1271
"244","Predominantly Feminine","Young","frost",1,"MogFace",1199.15506092917,1394
"245","Predominantly Feminine","Young","frost",1,"TinaFace",1148.10590544769,1347
"246","Predominantly Feminine","Young","frost",1,"Yolov5",1120.01033748152,1468
"247","Predominantly Feminine","Young","frost",2,"AWS",1068.11058355836,1370
"248","Predominantly Feminine","Young","frost",2,"Azure",986.909405940594,1293
"249","Predominantly Feminine","Young","frost",2,"GCP",898.39801980198,1271
"250","Predominantly Feminine","Young","frost",2,"MogFace",1075.05838583858,1394
"251","Predominantly Feminine","Young","frost",2,"TinaFace",1004.09587141406,1347
"252","Predominantly Feminine","Young","frost",2,"Yolov5",1004.59655673601,1468
"253","Predominantly Feminine","Young","frost",3,"AWS",952.694589816124,1370
"254","Predominantly Feminine","Young","frost",3,"Azure",886.250957095709,1293
"255","Predominantly Feminine","Young","frost",3,"GCP",722.463201320132,1271
"256","Predominantly Feminine","Young","frost",3,"MogFace",987.070922520823,1394
"257","Predominantly Feminine","Young","frost",3,"TinaFace",864.606724422442,1347
"258","Predominantly Feminine","Young","frost",3,"Yolov5",927.200125687026,1468
"259","Predominantly Feminine","Young","frost",4,"AWS",936.093069306931,1370
"260","Predominantly Feminine","Young","frost",4,"Azure",871.365841584158,1293
"261","Predominantly Feminine","Young","frost",4,"GCP",721.117821782178,1271
"262","Predominantly Feminine","Young","frost",4,"MogFace",976.567161716171,1394
"263","Predominantly Feminine","Young","frost",4,"TinaFace",848.324516737388,1347
"264","Predominantly Feminine","Young","frost",4,"Yolov5",907.606956511677,1468
"265","Predominantly Feminine","Young","frost",5,"AWS",847.229389438944,1370
"266","Predominantly Feminine","Young","frost",5,"Azure",819.236633663366,1293
"267","Predominantly Feminine","Young","frost",5,"GCP",597.586138613861,1271
"268","Predominantly Feminine","Young","frost",5,"MogFace",898.060634134842,1394
"269","Predominantly Feminine","Young","frost",5,"TinaFace",751.517795208092,1347
"270","Predominantly Feminine","Young","frost",5,"Yolov5",856.344245193392,1468
"271","Predominantly Feminine","Young","fog",1,"AWS",1279.18171067107,1370
"272","Predominantly Feminine","Young","fog",1,"Azure",1182.99735973597,1293
"273","Predominantly Feminine","Young","fog",1,"GCP",1100.62099009901,1271
"274","Predominantly Feminine","Young","fog",1,"MogFace",1271.68710578201,1394
"275","Predominantly Feminine","Young","fog",1,"TinaFace",1209.45047018988,1347
"276","Predominantly Feminine","Young","fog",1,"Yolov5",1166.39878703275,1468
"277","Predominantly Feminine","Young","fog",2,"AWS",1256.22312981298,1370
"278","Predominantly Feminine","Young","fog",2,"Azure",1153.66204620462,1293
"279","Predominantly Feminine","Young","fog",2,"GCP",1036.83663366337,1271
"280","Predominantly Feminine","Young","fog",2,"MogFace",1244.3906608518,1394
"281","Predominantly Feminine","Young","fog",2,"TinaFace",1179.22781374566,1347
"282","Predominantly Feminine","Young","fog",2,"Yolov5",1137.55350868775,1468
"283","Predominantly Feminine","Young","fog",3,"AWS",1221.6425330033,1370
"284","Predominantly Feminine","Young","fog",3,"Azure",1122.17429042904,1293
"285","Predominantly Feminine","Young","fog",3,"GCP",977.844389438944,1271
"286","Predominantly Feminine","Young","fog",3,"MogFace",1228.72188608147,1394
"287","Predominantly Feminine","Young","fog",3,"TinaFace",1158.01472890146,1347
"288","Predominantly Feminine","Young","fog",3,"Yolov5",1112.74691572831,1468
"289","Predominantly Feminine","Young","fog",4,"AWS",1221.78700495049,1370
"290","Predominantly Feminine","Young","fog",4,"Azure",1125.15082508251,1293
"291","Predominantly Feminine","Young","fog",4,"GCP",958.980528052805,1271
"292","Predominantly Feminine","Young","fog",4,"MogFace",1218.19461731887,1394
"293","Predominantly Feminine","Young","fog",4,"TinaFace",1158.31520562771,1347
"294","Predominantly Feminine","Young","fog",4,"Yolov5",1107.14409374424,1468
"295","Predominantly Feminine","Young","fog",5,"AWS",1181.82176817682,1370
"296","Predominantly Feminine","Young","fog",5,"Azure",1092.86435643564,1293
"297","Predominantly Feminine","Young","fog",5,"GCP",874.592079207921,1271
"298","Predominantly Feminine","Young","fog",5,"MogFace",1204.91378484277,1394
"299","Predominantly Feminine","Young","fog",5,"TinaFace",1126.76080858086,1347
"300","Predominantly Feminine","Young","fog",5,"Yolov5",1086.02900755896,1468
"301","Predominantly Feminine","Young","brightness",1,"AWS",1335.91241749175,1370
"302","Predominantly Feminine","Young","brightness",1,"Azure",1257.63764576458,1293
"303","Predominantly Feminine","Young","brightness",1,"GCP",1217.04042079208,1271
"304","Predominantly Feminine","Young","brightness",1,"MogFace",1341.15020627063,1394
"305","Predominantly Feminine","Young","brightness",1,"TinaFace",1289.94459692123,1347
"306","Predominantly Feminine","Young","brightness",1,"Yolov5",1302.65993389115,1468
"307","Predominantly Feminine","Young","brightness",2,"AWS",1311.0765214983,1370
"308","Predominantly Feminine","Young","brightness",2,"Azure",1236.41842998586,1293
"309","Predominantly Feminine","Young","brightness",2,"GCP",1186.95465346535,1271
"310","Predominantly Feminine","Young","brightness",2,"MogFace",1312.0169997824,1394
"311","Predominantly Feminine","Young","brightness",2,"TinaFace",1258.9288991042,1347
"312","Predominantly Feminine","Young","brightness",2,"Yolov5",1251.75504719482,1468
"313","Predominantly Feminine","Young","brightness",3,"AWS",1284.47162744846,1370
"314","Predominantly Feminine","Young","brightness",3,"Azure",1203.50082508251,1293
"315","Predominantly Feminine","Young","brightness",3,"GCP",1142.2638330976,1271
"316","Predominantly Feminine","Young","brightness",3,"MogFace",1276.69392739274,1394
"317","Predominantly Feminine","Young","brightness",3,"TinaFace",1220.52390255509,1347
"318","Predominantly Feminine","Young","brightness",3,"Yolov5",1204.68784413705,1468
"319","Predominantly Feminine","Young","brightness",4,"AWS",1256.57326582658,1370
"320","Predominantly Feminine","Young","brightness",4,"Azure",1165.2433804809,1293
"321","Predominantly Feminine","Young","brightness",4,"GCP",1087.62277227723,1271
"322","Predominantly Feminine","Young","brightness",4,"MogFace",1231.13369636964,1394
"323","Predominantly Feminine","Young","brightness",4,"TinaFace",1174.68990806223,1347
"324","Predominantly Feminine","Young","brightness",4,"Yolov5",1170.67349744459,1468
"325","Predominantly Feminine","Young","brightness",5,"AWS",1213.88534728473,1370
"326","Predominantly Feminine","Young","brightness",5,"Azure",1125.46683168317,1293
"327","Predominantly Feminine","Young","brightness",5,"GCP",1007.09900990099,1271
"328","Predominantly Feminine","Young","brightness",5,"MogFace",1180.12938179532,1394
"329","Predominantly Feminine","Young","brightness",5,"TinaFace",1125.38249117494,1347
"330","Predominantly Feminine","Young","brightness",5,"Yolov5",1129.22481413583,1468
"331","Predominantly Feminine","Young","contrast",1,"AWS",1280.37750275027,1370
"332","Predominantly Feminine","Young","contrast",1,"Azure",1182.9211236838,1293
"333","Predominantly Feminine","Young","contrast",1,"GCP",1101.32,1271
"334","Predominantly Feminine","Young","contrast",1,"MogFace",1264.70375766148,1394
"335","Predominantly Feminine","Young","contrast",1,"TinaFace",1199.32362071921,1347
"336","Predominantly Feminine","Young","contrast",1,"Yolov5",1156.34969714198,1468
"337","Predominantly Feminine","Young","contrast",2,"AWS",1238.13729372937,1370
"338","Predominantly Feminine","Young","contrast",2,"Azure",1140.8298349835,1293
"339","Predominantly Feminine","Young","contrast",2,"GCP",1022.30106082037,1271
"340","Predominantly Feminine","Young","contrast",2,"MogFace",1232.20187121459,1394
"341","Predominantly Feminine","Young","contrast",2,"TinaFace",1157.47915805317,1347
"342","Predominantly Feminine","Young","contrast",2,"Yolov5",1113.19621786666,1468
"343","Predominantly Feminine","Young","contrast",3,"AWS",1170.72995049505,1370
"344","Predominantly Feminine","Young","contrast",3,"Azure",1065.78887788779,1293
"345","Predominantly Feminine","Young","contrast",3,"GCP",877.252970297029,1271
"346","Predominantly Feminine","Young","contrast",3,"MogFace",1177.57260381533,1394
"347","Predominantly Feminine","Young","contrast",3,"TinaFace",1082.65675298299,1347
"348","Predominantly Feminine","Young","contrast",3,"Yolov5",1055.18625125075,1468
"349","Predominantly Feminine","Young","contrast",4,"AWS",982.322277227723,1370
