"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"320","0-2","Female","brightness",4,"Azure",638.879702970297,684
"321","0-2","Female","brightness",4,"GCP",646.012871287129,682
"322","0-2","Female","brightness",4,"MogFace",648.082673267327,684
"323","0-2","Female","brightness",4,"TinaFace",475.072607260726,619
"324","0-2","Female","brightness",4,"Yolov5",589.083168316832,684
"325","0-2","Female","brightness",5,"AWS",526.080528052805,684
"326","0-2","Female","brightness",5,"Azure",631.348514851485,684
"327","0-2","Female","brightness",5,"GCP",628.653960396039,682
"328","0-2","Female","brightness",5,"MogFace",630.390594059406,684
"329","0-2","Female","brightness",5,"TinaFace",438.988118811881,619
"330","0-2","Female","brightness",5,"Yolov5",573.65099009901,684
"331","0-2","Female","contrast",1,"AWS",549.449257425743,684
"332","0-2","Female","contrast",1,"Azure",644.526732673267,684
"333","0-2","Female","contrast",1,"GCP",648.973762376237,682
"334","0-2","Female","contrast",1,"MogFace",657.713861386138,684
"335","0-2","Female","contrast",1,"TinaFace",499.122772277228,619
"336","0-2","Female","contrast",1,"Yolov5",563.243234323432,684
"337","0-2","Female","contrast",2,"AWS",521.59298679868,684
"338","0-2","Female","contrast",2,"Azure",630.791089108911,684
"339","0-2","Female","contrast",2,"GCP",626.749504950495,682
"340","0-2","Female","contrast",2,"MogFace",642.777227722772,684
"341","0-2","Female","contrast",2,"TinaFace",417.873267326733,619
"342","0-2","Female","contrast",2,"Yolov5",537.316419141914,684
"343","0-2","Female","contrast",3,"AWS",468.760396039604,684
"344","0-2","Female","contrast",3,"Azure",605.327227722772,684
"345","0-2","Female","contrast",3,"GCP",549.457425742574,682
"346","0-2","Female","contrast",3,"MogFace",617.19504950495,684
"347","0-2","Female","contrast",3,"TinaFace",251.971287128713,619
"348","0-2","Female","contrast",3,"Yolov5",488.038613861386,684
"349","0-2","Female","contrast",4,"AWS",327.719306930693,684
"350","0-2","Female","contrast",4,"Azure",512.411881188119,684
"351","0-2","Female","contrast",4,"GCP",216.641584158416,682
"352","0-2","Female","contrast",4,"MogFace",517.560396039604,684
"353","0-2","Female","contrast",4,"TinaFace",17.1524752475248,619
"354","0-2","Female","contrast",4,"Yolov5",277.624257425743,684
"355","0-2","Female","contrast",5,"AWS",91.9148514851485,684
"356","0-2","Female","contrast",5,"Azure",233.70297029703,684
"357","0-2","Female","contrast",5,"GCP",4.9,682
"358","0-2","Female","contrast",5,"MogFace",187.273267326733,684
"359","0-2","Female","contrast",5,"TinaFace",0,619
"360","0-2","Female","contrast",5,"Yolov5",12.9026402640264,684
"361","0-2","Female","elastic-transform",1,"AWS",284.624422442244,684
"362","0-2","Female","elastic-transform",1,"Azure",381.940099009901,684
"363","0-2","Female","elastic-transform",1,"GCP",481.245544554455,682
"364","0-2","Female","elastic-transform",1,"MogFace",379.071782178218,684
