"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"182","0-18","Female","elastic-transform",1,"Azure",593.212871287129,2382
"183","0-18","Female","elastic-transform",1,"GCP",1112.14356435644,2385
"184","0-18","Female","elastic-transform",2,"AWS",69,2391
"185","0-18","Female","elastic-transform",2,"Azure",92.5049504950495,2382
"186","0-18","Female","elastic-transform",2,"GCP",287.00495049505,2385
"187","0-18","Female","elastic-transform",3,"AWS",2265.79372937294,2391
"188","0-18","Female","elastic-transform",3,"Azure",2278.03300330033,2382
"189","0-18","Female","elastic-transform",3,"GCP",2310.09900990099,2385
"190","0-18","Female","elastic-transform",4,"AWS",2203.78217821782,2391
"191","0-18","Female","elastic-transform",4,"Azure",2252.5396039604,2382
"192","0-18","Female","elastic-transform",4,"GCP",2205.05445544554,2385
"193","0-18","Female","elastic-transform",5,"AWS",1558.09900990099,2391
"194","0-18","Female","elastic-transform",5,"Azure",2029.93234323432,2382
"195","0-18","Female","elastic-transform",5,"GCP",1336.78877887789,2385
"196","0-18","Female","pixelate",1,"AWS",2363.45544554455,2391
"197","0-18","Female","pixelate",1,"Azure",2368.37623762376,2382
"198","0-18","Female","pixelate",1,"GCP",2370.74257425743,2385
"199","0-18","Female","pixelate",2,"AWS",2355,2391
"200","0-18","Female","pixelate",2,"Azure",2367.73267326733,2382
"201","0-18","Female","pixelate",2,"GCP",2367.92079207921,2385
"202","0-18","Female","pixelate",3,"AWS",2253.38118811881,2391
"203","0-18","Female","pixelate",3,"Azure",2355.83168316832,2382
"204","0-18","Female","pixelate",3,"GCP",2350.76237623762,2385
"205","0-18","Female","pixelate",4,"AWS",2090,2391
"206","0-18","Female","pixelate",4,"Azure",2311.47524752475,2382
"207","0-18","Female","pixelate",4,"GCP",2246.06600660066,2385
"208","0-18","Female","pixelate",5,"AWS",1921.51485148515,2391
"209","0-18","Female","pixelate",5,"Azure",2260.13861386139,2382
"210","0-18","Female","pixelate",5,"GCP",2118.80198019802,2385
"211","0-18","Female","jpeg-compression",1,"AWS",2367.58745874587,2391
"212","0-18","Female","jpeg-compression",1,"Azure",2361.44059405941,2382
"213","0-18","Female","jpeg-compression",1,"GCP",2363.58415841584,2385
"214","0-18","Female","jpeg-compression",2,"AWS",2350.64191419142,2391
"215","0-18","Female","jpeg-compression",2,"Azure",2353.65346534653,2382
"216","0-18","Female","jpeg-compression",2,"GCP",2347.77227722772,2385
"217","0-18","Female","jpeg-compression",3,"AWS",2333.84158415842,2391
"218","0-18","Female","jpeg-compression",3,"Azure",2346.80198019802,2382
"219","0-18","Female","jpeg-compression",3,"GCP",2334.78217821782,2385
"220","0-18","Female","jpeg-compression",4,"AWS",2218.85148514851,2391
"221","0-18","Female","jpeg-compression",4,"Azure",2325.68316831683,2382
"222","0-18","Female","jpeg-compression",4,"GCP",2290.11881188119,2385
"223","0-18","Female","jpeg-compression",5,"AWS",1967.84158415842,2391
"224","0-18","Female","jpeg-compression",5,"Azure",2266.13861386139,2382
"225","0-18","Female","jpeg-compression",5,"GCP",2220.14851485149,2385
"226","0-18","Male","gaussian-noise",1,"AWS",2070.89768976898,2136
"227","0-18","Male","gaussian-noise",1,"Azure",2092.37623762376,2132
"228","0-18","Male","gaussian-noise",1,"GCP",2090.65816831683,2133
"229","0-18","Male","gaussian-noise",2,"AWS",2002.91584158416,2136
"230","0-18","Male","gaussian-noise",2,"Azure",2045.47524752475,2132
"231","0-18","Male","gaussian-noise",2,"GCP",1990.89521452145,2133
"232","0-18","Male","gaussian-noise",3,"AWS",1802.0004950495,2136
"233","0-18","Male","gaussian-noise",3,"Azure",1823.33663366337,2132
"234","0-18","Male","gaussian-noise",3,"GCP",1815.87458745875,2133
"235","0-18","Male","gaussian-noise",4,"AWS",1313.15841584158,2136
"236","0-18","Male","gaussian-noise",4,"Azure",1239.03465346535,2132
"237","0-18","Male","gaussian-noise",4,"GCP",1542.9702970297,2133
"238","0-18","Male","gaussian-noise",5,"AWS",526.024752475248,2136
"239","0-18","Male","gaussian-noise",5,"Azure",507.767326732673,2132
"240","0-18","Male","gaussian-noise",5,"GCP",1028.0396039604,2133
"241","0-18","Male","shot-noise",1,"AWS",2033.14257425743,2136
"242","0-18","Male","shot-noise",1,"Azure",2077.65148514851,2132
"243","0-18","Male","shot-noise",1,"GCP",2017.39449944994,2133
"244","0-18","Male","shot-noise",2,"AWS",1898.19306930693,2136
"245","0-18","Male","shot-noise",2,"Azure",1941.9702970297,2132
"246","0-18","Male","shot-noise",2,"GCP",1863.17821782178,2133
"247","0-18","Male","shot-noise",3,"AWS",1625.50825082508,2136
"248","0-18","Male","shot-noise",3,"Azure",1583.95544554455,2132
"249","0-18","Male","shot-noise",3,"GCP",1686.90924092409,2133
"250","0-18","Male","shot-noise",4,"AWS",955.876237623762,2136
"251","0-18","Male","shot-noise",4,"Azure",845.39603960396,2132
"252","0-18","Male","shot-noise",4,"GCP",1282.66336633663,2133
"253","0-18","Male","shot-noise",5,"AWS",440.044554455446,2136
"254","0-18","Male","shot-noise",5,"Azure",408.767326732673,2132
"255","0-18","Male","shot-noise",5,"GCP",976.877887788779,2133
"256","0-18","Male","impulse-noise",1,"AWS",1993.49504950495,2136
"257","0-18","Male","impulse-noise",1,"Azure",2084.60891089109,2132
"258","0-18","Male","impulse-noise",1,"GCP",2094.1051980198,2133
"259","0-18","Male","impulse-noise",2,"AWS",1865.57695769577,2136
"260","0-18","Male","impulse-noise",2,"Azure",1995.9900990099,2132
"261","0-18","Male","impulse-noise",2,"GCP",2056.98161244696,2133
"262","0-18","Male","impulse-noise",3,"AWS",1722.51361386139,2136
"263","0-18","Male","impulse-noise",3,"Azure",1862.81188118812,2132
"264","0-18","Male","impulse-noise",3,"GCP",1959.300330033,2133
"265","0-18","Male","impulse-noise",4,"AWS",1275.18316831683,2136
"266","0-18","Male","impulse-noise",4,"Azure",1222.42574257426,2132
"267","0-18","Male","impulse-noise",4,"GCP",1551.43069306931,2133
"268","0-18","Male","impulse-noise",5,"AWS",609.397689768977,2136
"269","0-18","Male","impulse-noise",5,"Azure",548.851485148515,2132
"270","0-18","Male","impulse-noise",5,"GCP",1091.05940594059,2133
"271","0-18","Male","defocus-blur",1,"AWS",2088.6198019802,2136
"272","0-18","Male","defocus-blur",1,"Azure",2112.00495049505,2132
"273","0-18","Male","defocus-blur",1,"GCP",2089.94059405941,2133
"274","0-18","Male","defocus-blur",2,"AWS",2076.46930693069,2136
"275","0-18","Male","defocus-blur",2,"Azure",2096.09900990099,2132
"276","0-18","Male","defocus-blur",2,"GCP",2049.78217821782,2133
"277","0-18","Male","defocus-blur",3,"AWS",1967.09900990099,2136
"278","0-18","Male","defocus-blur",3,"Azure",2024.71287128713,2132
"279","0-18","Male","defocus-blur",3,"GCP",1894.0396039604,2133
"280","0-18","Male","defocus-blur",4,"AWS",1805.42079207921,2136
"281","0-18","Male","defocus-blur",4,"Azure",1888.78217821782,2132
"282","0-18","Male","defocus-blur",4,"GCP",1641.80693069307,2133
